# ----------------------------------------
# Raw data
# Pages
# 20190103-20210103
# ----------------------------------------

Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
Chia Seeds: Incredible weight loss solution | moonchat.in,3,3,00:00:37,0,0.00%,33.33%,$0.00
Chikungunya Archives | moonchat.in,3,1,00:00:13,1,0.00%,33.33%,$0.00
creativity Archives | moonchat.in,3,3,00:00:05,0,0.00%,0.00%,$0.00
dates.garlic Archives | moonchat.in,3,1,00:00:13,0,0.00%,0.00%,$0.00
Drinking Water : 8 Amazing Benefits of Drinking Water!! | moonchat.in,3,3,00:00:04,1,100.00%,33.33%,$0.00
Foods for healthy Joints Archives | moonchat.in,3,3,00:00:05,0,0.00%,0.00%,$0.00
Foods rich in Zinc Archives | moonchat.in,3,3,00:00:38,3,33.33%,33.33%,$0.00
Girlfriend: What your girlfriend expects from you? | moonchat.in,3,2,00:00:11,1,100.00%,33.33%,$0.00
Hair Fall | How to regrow your fallen hair?follow these tips | moonchat.in,3,3,00:01:27,0,0.00%,66.67%,$0.00
Health Archives | Page 19 of 28 | moonchat.in,3,2,00:00:12,0,0.00%,0.00%,$0.00
Health Archives | Page 22 of 28 | moonchat.in,3,2,00:00:40,0,0.00%,0.00%,$0.00
Health Archives | Page 23 of 28 | moonchat.in,3,2,00:00:54,0,0.00%,0.00%,$0.00
Health Archives | Page 24 of 28 | moonchat.in,3,2,00:00:19,0,0.00%,0.00%,$0.00
Health Archives | Page 27 of 28 | moonchat.in,3,2,00:00:17,0,0.00%,0.00%,$0.00
Health Archives | Page 28 of 28 | moonchat.in,3,2,00:00:06,0,0.00%,0.00%,$0.00
husband Archives | moonchat.in,3,2,00:00:13,1,100.00%,66.67%,$0.00
joint diseases Archives | moonchat.in,3,3,00:00:05,0,0.00%,0.00%,$0.00
joint pain Archives | moonchat.in,3,3,00:00:15,0,0.00%,0.00%,$0.00
moonchat.in | Page 10 of 38 | We Care For You,3,3,00:00:14,0,0.00%,33.33%,$0.00
moonchat.in | Page 27 of 38 | We Care For You,3,2,00:00:07,0,0.00%,33.33%,$0.00
moonchat.in | Page 30 of 38 | We Care For You,3,2,00:04:29,0,0.00%,0.00%,$0.00
moonchat.in | Page 34 of 38 | We Care For You,3,3,00:00:14,1,100.00%,33.33%,$0.00
moonchat.in | Page 35 of 38 | We Care For You,3,2,00:00:16,0,0.00%,0.00%,$0.00
moonchat.in | Page 8 of 38 | We Care For You,3,3,00:00:11,0,0.00%,0.00%,$0.00
"Olive Oil Benefits: 15 Proven Health Benefits of Olive Oil for Hair, Skin and Body | moonchat.in",3,3,00:15:16,1,100.00%,66.67%,$0.00
Relationship Archives | Page 2 of 4 | moonchat.in,3,3,00:08:44,0,0.00%,0.00%,$0.00
Relationship Archives | Page 3 of 4 | moonchat.in,3,2,00:00:18,0,0.00%,0.00%,$0.00
Skin Health Archives | moonchat.in,3,3,00:00:00,3,100.00%,100.00%,$0.00
The Most Dangerous Foods in the world!!Shocking | moonchat.in,3,3,00:00:19,1,100.00%,33.33%,$0.00
"Tips to get Beautiful Skin, try these amazing methods to be younger always! | moonchat.in",3,3,00:00:11,0,0.00%,33.33%,$0.00
Vegetarian foods Archives | moonchat.in,3,2,00:00:13,2,50.00%,66.67%,$0.00
Weight Loss Tips: These 5 Habits will kill your weight loss goal | moonchat.in,3,3,00:00:08,0,0.00%,0.00%,$0.00
You searched for Beer | moonchat.in,3,2,00:06:10,1,0.00%,0.00%,$0.00
You searched for broiler eggs | moonchat.in,3,1,00:00:26,0,0.00%,33.33%,$0.00
You searched for economic advantage and disadvantage of beef cattle | moonchat.in,3,2,00:00:09,0,0.00%,66.67%,$0.00
You searched for egg | moonchat.in,3,2,00:00:08,0,0.00%,0.00%,$0.00
You searched for marathon | moonchat.in,3,3,00:00:08,0,0.00%,0.00%,$0.00
You searched for mint | moonchat.in,3,1,00:00:18,0,0.00%,0.00%,$0.00
ಬ್ರಾಯ್ಲರ್ ಚಿಕನ್ ಅಡ್ಡಪರಿಣಾಮಗಳು: 7 [ಅಪಾಯಕಾರಿ] ಬ್ರಾಯ್ಲರ್ ಚಿಕನ್ ತಿನ್ನುವ ಆರೋಗ್ಯದ ಅಪಾಯಗಳು | moonchat.in,3,3,00:00:00,3,100.00%,100.00%,$0.00
7 खतरनाक ब्रेन डैमेजिंग हैबिट्स आपको पता होना चाहिए! | moonchat.in,2,2,00:00:00,1,100.00%,100.00%,$0.00
"admin, Author at moonchat.in",2,1,00:00:21,1,0.00%,0.00%,$0.00
Almonds Archives | moonchat.in,2,2,00:00:00,2,100.00%,100.00%,$0.00
"Arun, Author at moonchat.in | Page 10 of 30",2,2,00:00:07,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 12 of 30",2,2,00:00:04,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 14 of 30",2,2,00:00:06,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 15 of 30",2,1,00:00:21,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 16 of 30",2,2,00:00:05,1,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 17 of 30",2,1,00:00:15,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 19 of 30",2,2,00:00:08,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 20 of 30",2,2,00:01:16,1,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 23 of 30",2,2,00:00:13,0,0.00%,50.00%,$0.00
"Arun, Author at moonchat.in | Page 9 of 30",2,2,00:00:09,0,0.00%,0.00%,$0.00
Avoid Eating these foods on your Empty stomach! | moonchat.in,2,2,00:01:49,0,0.00%,0.00%,$0.00
Blood platelets Archives | moonchat.in,2,2,00:00:00,1,100.00%,100.00%,$0.00
Breakup: How to overcome breakup in love? | moonchat.in,2,1,00:01:37,0,0.00%,0.00%,$0.00
Cardio workout: Which is the Right Time to do Cardio workout ? | moonchat.in,2,2,00:00:00,2,100.00%,100.00%,$0.00
cervical cancer Archives | moonchat.in,2,2,00:00:11,2,50.00%,50.00%,$0.00
Dry skin Archives | moonchat.in,2,2,00:00:00,2,100.00%,100.00%,$0.00
Face Mask for Younger and Beautiful Skin! Try these Methods!! | moonchat.in,2,2,00:00:06,1,100.00%,50.00%,$0.00
Fitness Archives | Page 5 of 5 | moonchat.in,2,2,00:00:10,0,0.00%,0.00%,$0.00
Health Archives | Page 16 of 28 | moonchat.in,2,2,00:00:39,0,0.00%,0.00%,$0.00
Health Archives | Page 17 of 28 | moonchat.in,2,2,00:00:10,0,0.00%,0.00%,$0.00
Health Archives | Page 18 of 28 | moonchat.in,2,2,00:00:12,0,0.00%,0.00%,$0.00
Health Archives | Page 20 of 28 | moonchat.in,2,2,00:01:08,0,0.00%,0.00%,$0.00
Health Archives | Page 21 of 28 | moonchat.in,2,2,00:00:14,0,0.00%,0.00%,$0.00
Health Archives | Page 26 of 28 | moonchat.in,2,2,00:00:53,0,0.00%,0.00%,$0.00
How to impress a boy Archives | moonchat.in,2,1,00:00:21,1,0.00%,50.00%,$0.00
jayam ravi Archives | moonchat.in,2,2,00:00:00,2,50.00%,100.00%,$0.00
lazy Archives | moonchat.in,2,2,00:00:10,0,0.00%,0.00%,$0.00
moonchat.in | Page 22 of 38 | We Care For You,2,2,00:00:00,2,100.00%,100.00%,$0.00
moonchat.in | Page 28 of 38 | We Care For You,2,1,00:12:45,0,0.00%,0.00%,$0.00
moonchat.in | Page 31 of 38 | We Care For You,2,2,00:00:19,0,0.00%,0.00%,$0.00
moonchat.in | Page 33 of 38 | We Care For You,2,1,00:00:13,0,0.00%,0.00%,$0.00
moonchat.in | Page 9 of 38 | We Care For You,2,2,00:00:08,0,0.00%,0.00%,$0.00
moringa olifera Archives | moonchat.in,2,2,00:00:12,1,0.00%,0.00%,$0.00
nayanthara Archives | moonchat.in,2,2,00:00:00,2,100.00%,100.00%,$0.00
Omega 3 rich foods Archives | moonchat.in,2,2,00:00:21,2,50.00%,50.00%,$0.00
Onion: How to use Onion for Hair growth? | moonchat.in,2,2,00:00:00,2,100.00%,100.00%,$0.00
sperm Archives | moonchat.in,2,2,00:00:00,1,100.00%,100.00%,$0.00
Swimming: Amazing Exercise to stay young and weight Loss! | moonchat.in,2,2,00:00:00,2,100.00%,100.00%,$0.00
Trending Archives | Page 2 of 2 | moonchat.in,2,2,00:00:30,0,0.00%,0.00%,$0.00
Vitamin K Rich Foods Archives | moonchat.in,2,2,00:00:35,1,100.00%,50.00%,$0.00
Why do we need to drink Green tea?Shocking benefits | moonchat.in,2,1,00:00:14,0,0.00%,0.00%,$0.00
You searched for ATOMIC STRUCTURE | moonchat.in,2,1,00:00:37,0,0.00%,0.00%,$0.00
You searched for beef | moonchat.in,2,2,00:00:00,1,100.00%,100.00%,$0.00
You searched for Broiler chicken | moonchat.in,2,2,00:00:16,0,0.00%,0.00%,$0.00
You searched for Calcium | moonchat.in,2,1,00:00:03,0,0.00%,0.00%,$0.00
You searched for chamomile | moonchat.in,2,1,00:00:19,0,0.00%,50.00%,$0.00
You searched for Chicken | moonchat.in,2,2,00:04:23,1,100.00%,50.00%,$0.00
You searched for curry | moonchat.in,2,1,00:00:16,0,0.00%,0.00%,$0.00
You searched for D vitamin | moonchat.in,2,1,00:00:09,0,0.00%,0.00%,$0.00
You searched for Dates | moonchat.in,2,1,00:00:12,0,0.00%,0.00%,$0.00
You searched for fish | moonchat.in,2,1,00:00:10,0,0.00%,0.00%,$0.00
You searched for JELLYBEANS | moonchat.in,2,2,00:00:05,0,0.00%,0.00%,$0.00
You searched for JELLYBEANS/ | moonchat.in,2,2,00:00:00,0,0.00%,100.00%,$0.00
You searched for lecithin | moonchat.in,2,1,00:00:11,0,0.00%,0.00%,$0.00
You searched for mint leaf | moonchat.in,2,1,00:00:11,0,0.00%,0.00%,$0.00
You searched for Mint leaf | moonchat.in,2,1,00:00:07,0,0.00%,0.00%,$0.00
You searched for mushroom | moonchat.in,2,1,00:00:36,0,0.00%,50.00%,$0.00
You searched for Source and function of fats | moonchat.in,2,1,00:00:14,0,0.00%,0.00%,$0.00
You searched for sperm count chicken | moonchat.in,2,1,00:00:10,0,0.00%,0.00%,$0.00
You searched for Spinash | moonchat.in,2,1,00:00:06,0,0.00%,0.00%,$0.00
You searched for Typhoid | moonchat.in,2,1,00:00:10,0,0.00%,0.00%,$0.00
You searched for Vitamin E capsule | moonchat.in,2,1,00:00:12,0,0.00%,0.00%,$0.00
प्लेटलेट्स: रक्त प्लेटलेट्स बढ़ाने के लिए 10 कमाल के खाद्य पदार्थ | moonchat.in,2,2,00:00:00,2,100.00%,100.00%,$0.00
मधुमेह नियंत्रण अन्न: रक्तातील साखर नियंत्रित करण्यासाठी 25 अन्न [मधुमेह नियंत्रण] | moonchat.in,2,1,00:04:40,0,0.00%,0.00%,$0.00
रागी के लाभ: रागी और रागी व्यंजनों के 10 अद्भुत स्वास्थ्य लाभ | moonchat.in,2,2,00:05:06,2,50.00%,50.00%,$0.00
நீரிழிவு கட்டுப்பாட்டு உணவுகள்: இரத்த சர்க்கரையை கட்டுப்படுத்த 25 உணவுகள் [நீரிழிவு கட்டுப்பாடு] | moonchat.in,2,2,00:00:00,1,100.00%,100.00%,$0.00
ఐరన్ రిచ్ ఫ్రూట్స్: శాకాహారులకు ఇనుముతో సమృద్ధిగా ఉన్న 11 అద్భుతమైన పండ్లు | moonchat.in,2,1,00:09:14,1,0.00%,50.00%,$0.00
10 Habits to Be Happy | How to be Happy? | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
10 அதிசய உணவுகள் ஆண்களுக்கான விந்தணுக்களின் எண்ணிக்கையை அதிகரிக்கும் | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
10 ವಂಡರ್ ಫುಡ್ಸ್ ಪುರುಷರಿಗೆ ವೀರ್ಯಾಣುಗಳ ಸಂಖ್ಯೆಯನ್ನು ಹೆಚ್ಚಿಸುತ್ತದೆ | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
10 വണ്ടർ ഫുഡുകൾ പുരുഷന്മാർക്ക് ബീജങ്ങളുടെ എണ്ണം വർദ്ധിപ്പിക്കുക | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
1505210197557 | moonchat.in,1,1,00:00:39,1,0.00%,0.00%,$0.00
"7 Secrets to keep yourself always younger, follow this steps | moonchat.in",1,1,00:00:00,1,100.00%,100.00%,$0.00
7 Ways To Know Someone Truly Loves You | moonchat.in,1,1,00:02:18,0,0.00%,0.00%,$0.00
Aloe vera Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
Amla Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
Amla for hair growth Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
Anemia Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
Anger Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
angry Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
anitha Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
ANTI AGING FOODS Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
application Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
arthritis Archives | moonchat.in,1,1,00:01:27,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 11 of 30",1,1,00:00:08,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 13 of 30",1,1,00:00:11,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 21 of 30",1,1,00:00:22,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 22 of 30",1,1,00:00:14,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 25 of 30",1,1,00:00:11,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 26 of 30",1,1,00:00:16,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 29 of 30",1,1,00:00:16,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 30 of 30",1,1,00:00:04,0,0.00%,0.00%,$0.00
attractive men Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
Avoid soaps use these materials: Tips to get the Bright and Glowing Skin | moonchat.in,1,1,00:00:13,0,0.00%,0.00%,$0.00
Belly Fat: 10 Amazing Foods to reduce belly fat!! | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
Blood pressure : 8 ways to control without medication | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
calcium loss Archives | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
cancer prevention foods Archives | moonchat.in,1,1,00:00:16,1,0.00%,0.00%,$0.00
carbonated drink Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
cardio Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
clever Archives | moonchat.in,1,1,00:00:24,1,0.00%,0.00%,$0.00
Copper vessel water benefits Archives | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
dark chocolate Archives | moonchat.in,1,1,00:00:22,0,0.00%,0.00%,$0.00
Dark circles Archives | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
Doing these things daily will reduce your sperm count and leads to impotent! | moonchat.in,1,1,00:00:02,0,0.00%,0.00%,$0.00
drinks Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
Drum stick leaves Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
ego Archives | moonchat.in,1,1,00:00:08,0,0.00%,0.00%,$0.00
eye health Archives | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
figs Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
Foods for reducing stress. Try it!! Effective!! | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
hair growth Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
happy life Archives | moonchat.in,1,1,00:00:30,1,0.00%,0.00%,$0.00
harmful effects Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
Health Issues:Sitting for long hours lead to early death! | moonchat.in,1,1,00:00:11,0,0.00%,0.00%,$0.00
"How to Control Anger? Anger Management Tips, Everyone Should Know! | moonchat.in",1,1,00:01:27,0,0.00%,0.00%,$0.00
Hypertension Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
importance of iron Archives | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
Iron Archives | moonchat.in,1,1,00:00:07,1,0.00%,0.00%,$0.00
Iron-rich fruits Archives | moonchat.in,1,1,00:00:00,1,0.00%,100.00%,$0.00
Liver damage Archives | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
Love: 7 Tips to Strong your relationship with your Soulmate! | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
loved one Archives | moonchat.in,1,1,00:00:34,0,0.00%,0.00%,$0.00
Minerals Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
moonchat.in | Page 12 of 38 | We Care For You,1,1,00:00:09,0,0.00%,0.00%,$0.00
moonchat.in | Page 13 of 38 | We Care For You,1,1,00:00:01,1,0.00%,0.00%,$0.00
moonchat.in | Page 14 of 38 | We Care For You,1,1,00:00:08,0,0.00%,0.00%,$0.00
moonchat.in | Page 15 of 38 | We Care For You,1,1,00:00:00,0,0.00%,100.00%,$0.00
moonchat.in | Page 17 of 38 | We Care For You,1,1,00:00:11,0,0.00%,0.00%,$0.00
moonchat.in | Page 20 of 38 | We Care For You,1,1,00:00:14,0,0.00%,0.00%,$0.00
moonchat.in | Page 29 of 38 | We Care For You,1,1,00:00:18,0,0.00%,0.00%,$0.00
moonchat.in | Page 32 of 38 | We Care For You,1,1,00:00:51,0,0.00%,0.00%,$0.00
moonchat.in | Page 36 of 38 | We Care For You,1,1,00:00:20,0,0.00%,0.00%,$0.00
motivational video Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
omega Archives | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
Osteoporosis Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
Pimples: Different types of Tea to Reduce Your Pimples | moonchat.in,1,1,00:00:05,0,0.00%,0.00%,$0.00
Potassium Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
pregnacy Archives | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
pregnancy care Archives | moonchat.in,1,1,00:00:17,1,0.00%,0.00%,$0.00
Relationship Archives | Page 4 of 4 | moonchat.in,1,1,00:00:32,0,0.00%,0.00%,$0.00
sexual dysfunction Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
sitting jobs Archives | moonchat.in,1,1,00:00:47,0,0.00%,0.00%,$0.00
sivakarthikeyan Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
skipping Archives | moonchat.in,1,1,00:00:25,0,0.00%,0.00%,$0.00
Sperm count Archives | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
Uncategorized Archives | Page 5 of 11 | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
​﻿​Vitamin E Foods: Top 20 Foods Rich in Vitamin E and Their Benefits! | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
Weight loss:Top 10 tips to reduce body weight | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
​​﻿​﻿Wheat Benefits: 10 Wonderful Health Benefits of Eating Wheat! Everyone should Know!,1,1,00:00:02,0,0.00%,0.00%,$0.00
​﻿​​​Wheat Benefits: 10 Wonderful Health Benefits of Eating Wheat! Everyone should Know!,1,1,00:00:00,0,0.00%,100.00%,$0.00
​​﻿﻿﻿Wheat Benefits: 10 Wonderful Health Benefits of Eating Wheat! Everyone should Know!,1,1,00:00:04,0,0.00%,0.00%,$0.00
Why do relationships fail? | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
yoga Archives | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
You searched for A2 Milk | moonchat.in,1,1,00:00:18,0,0.00%,0.00%,$0.00
You searched for Advantages | moonchat.in,1,1,00:00:17,0,0.00%,0.00%,$0.00
You searched for Almond | moonchat.in,1,1,00:00:08,0,0.00%,0.00%,$0.00
You searched for B12 | moonchat.in,1,1,00:00:12,0,0.00%,0.00%,$0.00
You searched for Beef | moonchat.in,1,1,00:00:23,0,0.00%,0.00%,$0.00
You searched for benefit of banana | moonchat.in,1,1,00:00:07,0,0.00%,0.00%,$0.00
You searched for Black tea | moonchat.in,1,1,00:00:05,0,0.00%,0.00%,$0.00
You searched for broiler cancer | moonchat.in,1,1,00:00:45,1,0.00%,0.00%,$0.00
You searched for broiler chicken side effect | moonchat.in,1,1,00:00:21,0,0.00%,0.00%,$0.00
You searched for Broiler eggs | moonchat.in,1,1,00:00:02,0,0.00%,0.00%,$0.00
You searched for Broiler eggs | Page 2 of 2 | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
You searched for broiler eggs side effect | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
You searched for Broiler eggs side effects | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
You searched for Bubal sd | moonchat.in,1,1,00:00:06,0,0.00%,0.00%,$0.00
You searched for Can broiler chicken lay eggs | moonchat.in,1,1,00:00:57,0,0.00%,0.00%,$0.00
You searched for cholesterol | moonchat.in,1,1,00:00:24,0,0.00%,0.00%,$0.00
You searched for contact | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
You searched for Do broiler chickens have side effects in female human being | moonchat.in,1,1,00:00:16,0,0.00%,0.00%,$0.00
You searched for Fiber | moonchat.in,1,1,00:00:04,0,0.00%,0.00%,$0.00
You searched for Finer | moonchat.in,1,1,00:00:08,0,0.00%,0.00%,$0.00
You searched for Folate rich food | moonchat.in,1,1,00:00:48,0,0.00%,0.00%,$0.00
You searched for Half marathon | moonchat.in,1,1,00:00:31,0,0.00%,0.00%,$0.00
You searched for halfmarathon | moonchat.in,1,1,00:00:10,0,0.00%,0.00%,$0.00
You searched for honey | moonchat.in,1,1,00:00:10,0,0.00%,0.00%,$0.00
You searched for hot water | moonchat.in,1,1,00:28:48,0,0.00%,0.00%,$0.00
You searched for hotwater | moonchat.in,1,1,00:00:09,0,0.00%,0.00%,$0.00
You searched for importance iron | moonchat.in,1,1,00:00:17,0,0.00%,0.00%,$0.00
You searched for Iron | moonchat.in,1,1,00:04:38,0,0.00%,0.00%,$0.00
You searched for Jogging | moonchat.in,1,1,00:00:12,0,0.00%,0.00%,$0.00
You searched for Jogging | Page 2 of 4 | moonchat.in,1,1,00:00:13,0,0.00%,0.00%,$0.00
You searched for Jogging | Page 3 of 4 | moonchat.in,1,1,00:00:14,0,0.00%,0.00%,$0.00
You searched for Jogging | Page 4 of 4 | moonchat.in,1,1,00:00:24,0,0.00%,0.00%,$0.00
You searched for Layer chicken | moonchat.in,1,1,00:00:45,0,0.00%,0.00%,$0.00
You searched for Millet | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
You searched for organic chicken | moonchat.in,1,1,00:00:06,0,0.00%,0.00%,$0.00
You searched for Plastic bottles disadvantages | moonchat.in,1,1,00:00:17,0,0.00%,0.00%,$0.00
You searched for Restless legs | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
You searched for running | moonchat.in,1,1,00:00:06,0,0.00%,0.00%,$0.00
You searched for side effects of fish | moonchat.in,1,1,00:02:42,0,0.00%,0.00%,$0.00
You searched for Spinach | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
You searched for Tik tik | moonchat.in,1,1,00:00:08,0,0.00%,0.00%,$0.00
You searched for zinc | moonchat.in,1,1,00:00:07,0,0.00%,0.00%,$0.00
You searched for Zinc | moonchat.in,1,1,00:00:25,0,0.00%,0.00%,$0.00
You searched for Zinc | Page 2 of 5 | moonchat.in,1,1,00:06:01,0,0.00%,0.00%,$0.00
You searched for கடலை மிட்டாய் | moonchat.in,1,1,00:10:48,0,0.00%,0.00%,$0.00
You searched for வாழைப்பழம் | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
करी पत्ते के फायदे: करी पत्ते के 10 अद्भुत उपयोग और स्वास्थ्य लाभ | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
गेहूं के फायदे: गेहूं खाने के 10 अद्भुत स्वास्थ्य लाभ! हर किसी को पता होना चाहिए!,1,1,00:00:00,1,100.00%,100.00%,$0.00
चिकनगुनिया बुखार को रोकने और इलाज के लिए 6 खाद्य पदार्थ | moonchat.in,1,1,00:02:16,0,0.00%,0.00%,$0.00
झिंक समृध्द अन्न: उच्च झिंक सामग्री आणि त्यांचे फायदे असलेले शीर्ष 27 खाद्यपदार्थ !! | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
तुर्की मांस: तुर्की मांस और उनके महत्व के 10 अद्भुत स्वास्थ्य लाभ | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
प्रोटीन: प्रोटीन के महत्वपूर्ण कार्य और स्रोत क्या हैं? | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
स्वस्थ जोड़ों के लिए खाद्य पदार्थ: स्वस्थ जोड़ों के लिए 12 अद्भुत खाद्य पदार्थ! | moonchat.in,1,1,00:00:00,0,0.00%,100.00%,$0.00
બ્રોઇલર ચિકન આડઅસર: 7 [ખતરનાક] બ્રોઇલર ચિકન ખાવાના આરોગ્યના જોખમો | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
રાગીના ફાયદા: રાગી અને રાગીની રેસિપિના 10 અદ્ભુત આરોગ્ય લાભો moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
ಬ್ರಾಯ್ಲರ್ ಚಿಕನ್ ಸೈಡ್ ಎಫೆಕ್ಟ್ಸ್: 7 [ಡೇಂಜರಸ್] ಆರೋಗ್ಯದ ಅಪಾಯಗಳು ಕೋಳಿ ಕುಡಿಯುವ ಕೋಳಿ | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
ബ്രൊയ്ലർ ചിക്കൻ സൈഡ് എഫക്ട്സ്: 7 [അപകടം] ബ്രൂയിലർ ചിക്കൻ കഴിക്കാനുള്ള ആരോഗ്യസംരക്ഷണം | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
ผลข้างเคียงของไก่กระทง: 7 [อันตราย] อันตรายต่อสุขภาพจากการรับประทานไก่เนื้อ | moonchat.in,1,1,00:00:00,1,100.00%,100.00%,$0.00
,"84,836","76,099",00:03:38,"72,725",89.92%,85.72%,$0.00

Day Index,Pageviews
1/3/19,75
1/4/19,75
1/5/19,174
1/6/19,144
1/7/19,97
1/8/19,97
1/9/19,112
1/10/19,112
1/11/19,101
1/12/19,82
1/13/19,112
1/14/19,118
1/15/19,105
1/16/19,189
1/17/19,150
1/18/19,110
1/19/19,122
1/20/19,144
1/21/19,107
1/22/19,115
1/23/19,89
1/24/19,239
1/25/19,108
1/26/19,118
1/27/19,146
1/28/19,115
1/29/19,137
1/30/19,132
1/31/19,97
2/1/19,136
2/2/19,105
2/3/19,137
2/4/19,173
2/5/19,123
2/6/19,110
2/7/19,108
2/8/19,91
2/9/19,100
2/10/19,131
2/11/19,98
2/12/19,110
2/13/19,120
2/14/19,114
2/15/19,102
2/16/19,104
2/17/19,120
2/18/19,102
2/19/19,124
2/20/19,101
2/21/19,104
